FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL
Marius Enache,"5' 11""",155 lbs.,,,"Oct 16, 1975",http://ufcstats.com/fighter-details/e3f443e4cbc3da8f
Kevin Engel,"6' 2""",170 lbs.,,,,http://ufcstats.com/fighter-details/d2f310b5b072e986
Alex Enlund,"5' 10""",145 lbs.,,Orthodox,"May 27, 1987",http://ufcstats.com/fighter-details/d238217e0f8ea8e1
Kenny Ento,"6' 2""",192 lbs.,,,,http://ufcstats.com/fighter-details/daf9be103c1edbbd
Ian Entwistle,"5' 5""",135 lbs.,,Orthodox,"Nov 19, 1986",http://ufcstats.com/fighter-details/d7adfcfdf7c6c1f8
Won Jin Eoh,"5' 7""",160 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/bc7cf284c1c2f16e
Josh Epps,,130 lbs.,,,"Aug 23, 1986",http://ufcstats.com/fighter-details/984b0c4c6e773a1c
Tom Erikson,"6' 3""",280 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/7b9a85e5ff31ef47
Konstantin Erokhin,"5' 11""",230 lbs.,,Orthodox,"Jan 31, 1983",http://ufcstats.com/fighter-details/22061ff217907c78
Nick Ertl,"5' 9""",155 lbs.,,,,http://ufcstats.com/fighter-details/74061adb224be3cc
Chel Erwin-Davis,"6' 0""",170 lbs.,,,,http://ufcstats.com/fighter-details/c26ea30823f37316
Bobby Escalante,,130 lbs.,,,,http://ufcstats.com/fighter-details/f7ede18b4ec4ec1f
Eric Esch,"5' 11""",350 lbs.,,Orthodox,"Aug 03, 1968",http://ufcstats.com/fighter-details/0e4daed84a8f39a6
Pro Escobedo,,205 lbs.,,,,http://ufcstats.com/fighter-details/b36874652ed7715d
Evan Esguerra,,145 lbs.,,,,http://ufcstats.com/fighter-details/ed220e87bef0cc64
Fred Ettish,"6' 0""",180 lbs.,,Southpaw,,http://ufcstats.com/fighter-details/8d5daf67983b65ba
Scott Ettling,,135 lbs.,,,,http://ufcstats.com/fighter-details/74b5736f1df40be3
Doug Evans,"5' 9""",155 lbs.,,Orthodox,"Oct 10, 1980",http://ufcstats.com/fighter-details/d3de4a24f7eefac8
Dan Evensen,"6' 3""",250 lbs.,,Orthodox,"Jun 01, 1974",http://ufcstats.com/fighter-details/dd8aec6de7035943
Neal Ewing,,185 lbs.,,,"Sep 30, 1985",http://ufcstats.com/fighter-details/0798f558681d0eb5
Edward Faaloloto,,155 lbs.,"70""",Orthodox,"Jul 15, 1984",http://ufcstats.com/fighter-details/6224e8d0a34264eb
Ron Faircloth,"5' 9""",205 lbs.,,Orthodox,"Aug 16, 1979",http://ufcstats.com/fighter-details/453ee00c3e1ae9dd
Jason Fairn,"6' 1""",230 lbs.,,,,http://ufcstats.com/fighter-details/adea9f0090aa8e14
Maiquel Falcao,"5' 11""",185 lbs.,,Orthodox,"Mar 08, 1981",http://ufcstats.com/fighter-details/d58478ded5534695
Brodie Farber,"6' 1""",170 lbs.,,Orthodox,"Jul 05, 1980",http://ufcstats.com/fighter-details/91d73ee59347ac16
Joao Paulo Faria,"5' 9""",155 lbs.,,,,http://ufcstats.com/fighter-details/04e9955f33e0c267
Kalindra Faria,"5' 7""",125 lbs.,,Switch,"Jul 23, 1986",http://ufcstats.com/fighter-details/27b164b0d1833df0
Chance Farrar,"5' 9""",145 lbs.,,Southpaw,"Sep 11, 1975",http://ufcstats.com/fighter-details/49c7236c737d7e59
Kelly Faszholz,"5' 8""",135 lbs.,,Orthodox,"Apr 09, 1985",http://ufcstats.com/fighter-details/9c42a0de8e012870
Rodney Faverus,"6' 0""",215 lbs.,,Southpaw,,http://ufcstats.com/fighter-details/5af26b3201690d29
JP Felty,,170 lbs.,,,"Apr 28, 1979",http://ufcstats.com/fighter-details/954e3f4e2b0e6510
Feng Pengchao,,135 lbs.,,,,http://ufcstats.com/fighter-details/86597694317e5e1b
Rhadi Ferguson,"5' 7""",205 lbs.,,,,http://ufcstats.com/fighter-details/15f4550e017f6c7d
Josh Ferguson,"5' 5""",125 lbs.,,Orthodox,"May 13, 1988",http://ufcstats.com/fighter-details/b0f316c60f8d3b47
CJ Fernandes,"6' 2""",170 lbs.,,,"Nov 13, 1977",http://ufcstats.com/fighter-details/979f7edbb6980b0d
Bibiano Fernandes,"5' 7""",139 lbs.,,Orthodox,"Mar 30, 1980",http://ufcstats.com/fighter-details/cbc071cb20ea59c7
Emily Fernandez,,,,,,http://ufcstats.com/fighter-details/7ee1babb99f30115
Lucas Fernando,"6' 3""",185 lbs.,"80""",,"Jan 10, 1997",http://ufcstats.com/fighter-details/3df223aeaacecf3f
Alexandre Ferreira,"5' 7""",205 lbs.,,Orthodox,"Apr 25, 1979",http://ufcstats.com/fighter-details/28ba5f27e473420c
Scott Ferrozzo,"5' 11""",323 lbs.,,Orthodox,"Apr 26, 1965",http://ufcstats.com/fighter-details/977081bc01197656
Scott Fiedler,"6' 4""",235 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/0ec821423baa26bd
Ron Fields,"6' 2""",200 lbs.,,Orthodox,"Nov 18, 1974",http://ufcstats.com/fighter-details/6e380a4d73ab4f0e
Anthony Figueroa,"5' 4""",135 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/daff32bc96d1eabf
Paulo Filho,"5' 8""",185 lbs.,,Southpaw,"May 24, 1978",http://ufcstats.com/fighter-details/2abdead94ce73552
Brady Fink,"6' 0""",183 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/997b4f52f76a0b53
Jesse Finney,"6' 0""",170 lbs.,,,"Jul 11, 1974",http://ufcstats.com/fighter-details/0496cdac0bc9edd8
Jan Finney,"5' 8""",135 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/3317823959d32a05
Luiz Firmino,"5' 6""",154 lbs.,,Orthodox,"Mar 18, 1982",http://ufcstats.com/fighter-details/16d09e800ad7ec79
Bryanna Fissori,"5' 4""",145 lbs.,,,,http://ufcstats.com/fighter-details/5517bd590dbbe1f8
Isi Fitikefu,"5' 10""",205 lbs.,,,,http://ufcstats.com/fighter-details/b8dc5fbf8338adc5
Colin Fletcher,"6' 2""",155 lbs.,,Orthodox,"Jan 08, 1983",http://ufcstats.com/fighter-details/7d09200f6a77b20e
Cody Floyd,,,,,"Jul 18, 1988",http://ufcstats.com/fighter-details/8164250600b7c91b
Bobby Flynn,,170 lbs.,,,,http://ufcstats.com/fighter-details/c97fc5fbf7d32b8a
Mal Foki,"5' 7""",220 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/fa534853eb195270
Matt Foki,"5' 7""",220 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/5de61b03868035ff
AJ Fonseca,"5' 4""",145 lbs.,,,,http://ufcstats.com/fighter-details/0adf1aacda5e26ac
Claudionor Fontinelle,"5' 5""",185 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/7a82635ffa9b59fe
Sterling Ford,"5' 10""",155 lbs.,,,"Mar 12, 1986",http://ufcstats.com/fighter-details/a71ce6ff0b4a9dbb
Codale Ford,"5' 9""",170 lbs.,,,"May 13, 1979",http://ufcstats.com/fighter-details/5340123d826ceadb
Xavier Foupa-Pokam,"6' 1""",185 lbs.,,Open Stance,"Jul 03, 1982",http://ufcstats.com/fighter-details/ec33146e43e58933
Mason Fowler,"5' 11""",170 lbs.,,,,http://ufcstats.com/fighter-details/d745d4146be48679
Brandon Foxworth,"5' 11""",145 lbs.,,Orthodox,"Apr 28, 1979",http://ufcstats.com/fighter-details/f65a0eb902f9476b
Francisco France,"6' 0""",205 lbs.,,,"Jan 21, 1983",http://ufcstats.com/fighter-details/ecfdbf38681a59ba
Zoila Frausto,"5' 4""",135 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/040d3b4c735541aa
Zane Frazier,"6' 5""",250 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/d3711d3784b76255
Gary Frazier,"6' 0""",245 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/3beeeafcbc8b4cbc
Ian Freeman,"5' 11""",225 lbs.,,Orthodox,"Nov 10, 1966",http://ufcstats.com/fighter-details/b4bc2e3353a770b5
Jason Freeman,"6' 2""",225 lbs.,,,"Sep 02, 1976",http://ufcstats.com/fighter-details/5870bd1eadf4f322
Kennedy Freeman,,135 lbs.,,,"Nov 26, 1996",http://ufcstats.com/fighter-details/63d071997c75e3fd
Willamy Freire,"5' 8""",155 lbs.,,Orthodox,"Jul 28, 1987",http://ufcstats.com/fighter-details/f1f37d667bcd0d27
Patricio Freire,"5' 5""",145 lbs.,"65""",,"Jul 07, 1987",http://ufcstats.com/fighter-details/98a58c26c5b1ed17
Patricky Freire,"5' 7""",155 lbs.,"71""",,"Jun 01, 1986",http://ufcstats.com/fighter-details/90e6dde9113830bd
JeremyFreitag,"6' 1""",205 lbs.,,,,http://ufcstats.com/fighter-details/a47e9ec288c91067
Rafael Freitas,,205 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/14b9e0f2679a2205
Donavon Frelow,"5' 7""",135 lbs.,,Orthodox,"Jan 20, 1985",http://ufcstats.com/fighter-details/9aa56f004b2bca07
Clay French,"5' 7""",161 lbs.,,Southpaw,"Oct 07, 1980",http://ufcstats.com/fighter-details/73321668ff977f1b
Mike French,"5' 10""",145 lbs.,,,"May 29, 1975",http://ufcstats.com/fighter-details/756f45905fb20cb5
Artem Frolov,"5' 10""",185 lbs.,,,"Sep 07, 1991",http://ufcstats.com/fighter-details/ee704df0afd74558
Don Frye,"6' 1""",219 lbs.,,Orthodox,"Nov 23, 1965",http://ufcstats.com/fighter-details/271fe91f4ba9d2c5
Tony Fryklund,"6' 0""",185 lbs.,,Orthodox,"Mar 26, 1971",http://ufcstats.com/fighter-details/253de74457bd6374
Jesse Fujarczyk,"6' 4""",225 lbs.,,Southpaw,"Jan 28, 1983",http://ufcstats.com/fighter-details/c3c38c86f5ab9b5c
Katsuhisa Fujii,"6' 0""",205 lbs.,,Orthodox,"Aug 15, 1972",http://ufcstats.com/fighter-details/d71d968dc6ecfdaf
Megumi Fujii,"5' 3""",113 lbs.,,,"Apr 26, 1974",http://ufcstats.com/fighter-details/fb6c531726447ff3
Kazuyuki Fujita,"6' 0""",235 lbs.,,Orthodox,"Oct 16, 1970",http://ufcstats.com/fighter-details/b1605ea39fba6af6
Keisuke Fujiwara,"5' 6""",139 lbs.,,Switch,,http://ufcstats.com/fighter-details/ccd58ff71e260ed5
Travis Fulton,"6' 0""",240 lbs.,,Orthodox,"May 29, 1977",http://ufcstats.com/fighter-details/911fb265462f0d94
Sam Fulton,,,,,,http://ufcstats.com/fighter-details/1f5f75658551f2d3
Masakatsu Funaki,"6' 0""",185 lbs.,,Southpaw,"Mar 13, 1969",http://ufcstats.com/fighter-details/aa3153a9941b4d44
Katsuaki Furuki,"6' 0""",168 lbs.,,,"Nov 10, 1980",http://ufcstats.com/fighter-details/c3e2eca94b2320bc
James Gabert,,178 lbs.,,,,http://ufcstats.com/fighter-details/fcd8b623892b9a10
Gustavo Gabriel,"5' 6""",125 lbs.,,Orthodox,"Apr 01, 1994",http://ufcstats.com/fighter-details/fe98f86284a6eeb3
Alavutdin Gadjiev,"6' 2""",185 lbs.,,Orthodox,"Jun 23, 1982",http://ufcstats.com/fighter-details/a7a79b8efbceaaac
Sheila Gaff,"5' 5""",135 lbs.,,Orthodox,"Dec 29, 1989",http://ufcstats.com/fighter-details/837d30395faca41e
Brandon Gaines,"6' 3""",185 lbs.,,,,http://ufcstats.com/fighter-details/8e6cfbd455f0f9c2
Travis Galbraith,"6' 0""",170 lbs.,,Orthodox,"May 18, 1981",http://ufcstats.com/fighter-details/06dc1a58663579d2
Dave Galera,"5' 11""",135 lbs.,,Orthodox,"Jan 12, 1978",http://ufcstats.com/fighter-details/0876d21328cf4a45
Zelg Galesic,"6' 2""",185 lbs.,,Orthodox,"Feb 16, 1979",http://ufcstats.com/fighter-details/8a1b4330c7957961
Daniel Gallemore,"6' 5""",265 lbs.,,,,http://ufcstats.com/fighter-details/96706c75a2b14164
Tom Gallicchio,"5' 10""",170 lbs.,,Southpaw,"Sep 23, 1986",http://ufcstats.com/fighter-details/cc81c92fe2254935
Turrell Galloway,"5' 3""",145 lbs.,,,,http://ufcstats.com/fighter-details/7e654edcddd71550
Eric Galvan,,155 lbs.,,,,http://ufcstats.com/fighter-details/ad3fdba28a7540cf
Andre Galvao,"5' 7""",168 lbs.,,Orthodox,"Sep 29, 1982",http://ufcstats.com/fighter-details/45fe6765c56d8018
Marcos Galvao,"5' 7""",135 lbs.,,Orthodox,"Jun 23, 1981",http://ufcstats.com/fighter-details/e15d0a2519d6a0b5
Lucas Gamaza,,170 lbs.,,,,http://ufcstats.com/fighter-details/289a3b69b85da7cd
Joey Gambino,"5' 7""",145 lbs.,,Orthodox,"Oct 26, 1988",http://ufcstats.com/fighter-details/10559c53de0b950e
Ariel Gandulla,"5' 11""",205 lbs.,,Orthodox,"May 07, 1968",http://ufcstats.com/fighter-details/41904fc4d3f5bffc
Sean Gannon,"6' 3""",265 lbs.,,Southpaw,,http://ufcstats.com/fighter-details/6d7886b094b471ac
Junye Gao,,125 lbs.,,,,http://ufcstats.com/fighter-details/8b27d25ce0221d60
Alejandro Garcia,"5' 7""",145 lbs.,,,,http://ufcstats.com/fighter-details/e5dc36e0aba7e9da
Nick Garcia,"5' 4""",125 lbs.,,,,http://ufcstats.com/fighter-details/8a04d94dfcfab159
Rulon Gardner,"6' 3""",265 lbs.,,Orthodox,"Aug 16, 1971",http://ufcstats.com/fighter-details/4f7e290e71d60f87
David Gardner,"5' 11""",155 lbs.,,Orthodox,"May 17, 1977",http://ufcstats.com/fighter-details/70167689d6a01793
Azamat Gashimov,"5' 6""",125 lbs.,,Orthodox,"Apr 07, 1990",http://ufcstats.com/fighter-details/a1b0715c4fd2dbd3
Brian Gassaway,"6' 1""",170 lbs.,,Orthodox,"Aug 07, 1972",http://ufcstats.com/fighter-details/e4770d5ed44a3970
Manuel Gaxhja,"5' 8""",155 lbs.,,Switch,"Jul 23, 1997",http://ufcstats.com/fighter-details/618643d0d5c0631d
Charlene Gellner,"5' 2""",125 lbs.,,,,http://ufcstats.com/fighter-details/effd0b70e6749ab2
Paul Georgieff,"6' 2""",170 lbs.,,Orthodox,"Sep 22, 1982",http://ufcstats.com/fighter-details/2f1700b3a4a09bc7
Brian Geraghty,"5' 7""",155 lbs.,,Orthodox,"Nov 04, 1980",http://ufcstats.com/fighter-details/15edcf67ccf5be84
Derek Getzel,"6' 0""",155 lbs.,,,,http://ufcstats.com/fighter-details/42883268854b78be
Karine Gevorgyan,"5' 4""",125 lbs.,"63""",,"Mar 09, 1989",http://ufcstats.com/fighter-details/2db0c114414d4f06
Darrel Gholar,"5' 8""",194 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/a24e080000fa7a35
Tiki Ghosn,"5' 10""",170 lbs.,,Orthodox,"Feb 09, 1977",http://ufcstats.com/fighter-details/cb6783c39c01d896
Nick Gibbons,"5' 10""",155 lbs.,,,,http://ufcstats.com/fighter-details/96a221341035b701
James Giboo,"5' 11""",170 lbs.,,Orthodox,"Jan 06, 1978",http://ufcstats.com/fighter-details/f74e037b97917027
Lance Gibson,"5' 9""",185 lbs.,,Orthodox,"Nov 20, 1970",http://ufcstats.com/fighter-details/63eedfcc73071d41
Lee Gibson,"5' 7""",155 lbs.,,,,http://ufcstats.com/fighter-details/69db199087a1a792
Kenny Giddens,"5' 11""",155 lbs.,,,,http://ufcstats.com/fighter-details/db8b800176d26f6e
Joseph Gigliotti,"5' 11""",185 lbs.,,Orthodox,"Aug 13, 1993",http://ufcstats.com/fighter-details/83825fad27ab3581
Joey Gilbert,"5' 11""",155 lbs.,,Orthodox,"Jun 05, 1976",http://ufcstats.com/fighter-details/6bb1d2b714d4b3bc
Kultar Gill,"6' 0""",154 lbs.,,Orthodox,"Mar 24, 1979",http://ufcstats.com/fighter-details/42c96a9c4802e2e1
Jesse Gillespie,,185 lbs.,,,,http://ufcstats.com/fighter-details/160b931119c1bf91
Jason Gilliam,"6' 0""",170 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/91720876db0ee468
Krishaun Gilmore,,,,,,http://ufcstats.com/fighter-details/10ccdcd14c3dfcf1
Alex Gilpin,"5' 7""",145 lbs.,,Orthodox,"Mar 26, 1992",http://ufcstats.com/fighter-details/762c69860eef65d8
Bob Gilstrap,"6' 3""",200 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/c96518b7f6881004
Demetrius Gioulacos,"5' 11""",185 lbs.,,,,http://ufcstats.com/fighter-details/a58114c6dd0add64
Billy Giovanella,"5' 8""",125 lbs.,,,"Aug 20, 1985",http://ufcstats.com/fighter-details/c1ea31a904fe08a9
He-Man Gipson,,,,,,http://ufcstats.com/fighter-details/3e03cec9767d37e6
Israel Giron,"5' 8""",155 lbs.,,,"Jan 16, 1974",http://ufcstats.com/fighter-details/4b4f6abdce986be6
Brandon Girtz,"5' 7""",155 lbs.,,,"Mar 06, 1985",http://ufcstats.com/fighter-details/81f1810f72df8f25
Jason Glaza,"6' 0""",230 lbs.,,,,http://ufcstats.com/fighter-details/fda067e842b07466
Mike Glenn,,205 lbs.,,,"Oct 09, 1977",http://ufcstats.com/fighter-details/ed133185689088b3
Clint Godfrey,"5' 6""",135 lbs.,,Southpaw,"Oct 21, 1982",http://ufcstats.com/fighter-details/bd85ca0bb4f26cfc
Jason Godsey,"6' 2""",230 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/5ca158b1cc9cb242
Allan Goes,"6' 0""",205 lbs.,,Orthodox,"Apr 20, 1971",http://ufcstats.com/fighter-details/e62b36885ecdac27
Jonny Goh,"5' 11""",155 lbs.,,,,http://ufcstats.com/fighter-details/e86af30738a5452a
Sergio Gomez,"5' 6""",155 lbs.,,Orthodox,"Apr 29, 1982",http://ufcstats.com/fighter-details/af1e5c64b8663aa0
Alan Gomez,,155 lbs.,,,,http://ufcstats.com/fighter-details/0a66de3a797cf73a
David Gomez,,155 lbs.,,,"Aug 08, 1983",http://ufcstats.com/fighter-details/489413d3be819647
Ulysses Gomez,"5' 6""",125 lbs.,,Orthodox,"May 25, 1983",http://ufcstats.com/fighter-details/1e35aa8955794580
Nick Gonzalez,"5' 6""",155 lbs.,,Orthodox,"Mar 03, 1981",http://ufcstats.com/fighter-details/28d8638ea0a71908
Fabian Gonzalez,"5' 10""",135 lbs.,,,,http://ufcstats.com/fighter-details/69c071bc2621e8b0
Lewis Gonzalez,"5' 10""",170 lbs.,,Orthodox,"Sep 19, 1987",http://ufcstats.com/fighter-details/2ff2e6e5abea3e53
Pearl Gonzalez,"5' 4""",115 lbs.,,Orthodox,"Aug 12, 1986",http://ufcstats.com/fighter-details/1ebdcb7488d0ebee
Jennifer Gonzalez,"5' 2""",125 lbs.,,,"Mar 22, 1986",http://ufcstats.com/fighter-details/4f1a48f4e6ffb007
Kier Gooch,,155 lbs.,,,"Apr 21, 1986",http://ufcstats.com/fighter-details/1bda4867f1baceac
Gary Goodridge,"6' 3""",249 lbs.,,Orthodox,"Jan 17, 1966",http://ufcstats.com/fighter-details/fbbde91f7bc2d3c5
Jordan Goodwin,,155 lbs.,,,,http://ufcstats.com/fighter-details/7f98d9d5a10fa25c
Gerard Gordeau,"6' 5""",216 lbs.,,Orthodox,"Mar 30, 1959",http://ufcstats.com/fighter-details/279093302a6f44b3
Tebaris Gordon,"6' 1""",265 lbs.,,Orthodox,"Jul 19, 1988",http://ufcstats.com/fighter-details/68c4ca70067bf282
Tim Gorman,"5' 5""",135 lbs.,,Southpaw,"Apr 29, 1983",http://ufcstats.com/fighter-details/c10eb2f12c489f6d
Chase Gormley,"6' 3""",265 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/052ceb8976695342
Todd Gouwenberg,"6' 1""",205 lbs.,,Orthodox,"Sep 25, 1974",http://ufcstats.com/fighter-details/c44acf87e376c62b
Hugo Govea,,,,,,http://ufcstats.com/fighter-details/2391a73686200c5d
Justin Governale,,145 lbs.,,,,http://ufcstats.com/fighter-details/ae954fd497025462
Patryk Grabowski,,205 lbs.,,,"Nov 12, 1995",http://ufcstats.com/fighter-details/4e163b53d1de1fbc
Royce Gracie,"6' 1""",175 lbs.,,Southpaw,"Dec 12, 1966",http://ufcstats.com/fighter-details/429e7d3725852ce9
Crosley Gracie,"5' 9""",190 lbs.,,Orthodox,"Jul 18, 1979",http://ufcstats.com/fighter-details/52d92050a046bc17
Daniel Gracie,"6' 2""",225 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/82d6a9ae41aac3f7
Ralph Gracie,"5' 9""",183 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/a9c45a8b21eabadc
Renzo Gracie,"5' 10""",185 lbs.,,Orthodox,"Mar 11, 1967",http://ufcstats.com/fighter-details/aae0897825336b1a
Rickson Gracie,"5' 10""",185 lbs.,,Switch,"Nov 20, 1958",http://ufcstats.com/fighter-details/194fc025f9355db6
Rodrigo Gracie,"6' 0""",183 lbs.,,Orthodox,"Apr 11, 1975",http://ufcstats.com/fighter-details/36877f0e62b25b96
Royler Gracie,"5' 8""",150 lbs.,,Southpaw,"Dec 06, 1965",http://ufcstats.com/fighter-details/b807814d977682eb
Ryan Gracie,"5' 9""",200 lbs.,,Orthodox,"Aug 14, 1974",http://ufcstats.com/fighter-details/0c3838c8f7c620c2
Ralek Gracie,"6' 2""",210 lbs.,,Orthodox,"Oct 04, 1985",http://ufcstats.com/fighter-details/84283233ec42be5f
Rolles Gracie,"6' 4""",242 lbs.,,Orthodox,"Jul 14, 1978",http://ufcstats.com/fighter-details/e4a9dbade7c7e1a7
Cesar Gracie,"5' 10""",181 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/079488710f012779
Igor Gracie,"5' 11""",170 lbs.,,,"Feb 04, 1980",http://ufcstats.com/fighter-details/722b870449243083
Neiman Gracie,"6' 0""",170 lbs.,,,,http://ufcstats.com/fighter-details/12d855d12a624da2
Steven Graham,"6' 1""",290 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/3e514f437c51ce0a
Scott Graham,"6' 4""",185 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/6e4acc2c115215b5
James Gray,"5' 9""",135 lbs.,,Orthodox,"Oct 25, 1987",http://ufcstats.com/fighter-details/2db65fc038c0018e
Sam Greco,"6' 2""",205 lbs.,,Orthodox,"May 03, 1967",http://ufcstats.com/fighter-details/6d12031661db8ac8
Chuck Grigsby,"6' 6""",205 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/7fb4234670271505
Rodrigo Gripp de Sousa,"5' 11""",205 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/dde70a112e053a6c
Garrett Gross,"5' 9""",155 lbs.,,Orthodox,"Aug 08, 1988",http://ufcstats.com/fighter-details/6741218640534d8b
Neil Grove,"6' 6""",265 lbs.,,Orthodox,"Jan 18, 1971",http://ufcstats.com/fighter-details/36a432f22144843e
Nandor Guelmino,"6' 3""",230 lbs.,,,"Dec 20, 1975",http://ufcstats.com/fighter-details/1abfb658cd4f8533
Fabricio Guerreiro,"5' 10""",145 lbs.,,,"Jul 24, 1990",http://ufcstats.com/fighter-details/2963369e327e1979
Jason Guida,"5' 10""",214 lbs.,,,"Aug 04, 1977",http://ufcstats.com/fighter-details/ce25b4ed82b1811b
Chris Guillen,"6' 0""",240 lbs.,,Orthodox,"Dec 09, 1972",http://ufcstats.com/fighter-details/da0f33e4255f99eb
Leonardo Guimaraes,"6' 0""",185 lbs.,,Orthodox,"Apr 15, 1982",http://ufcstats.com/fighter-details/cc98d857b148e33a
Brad Gumm,"5' 11""",170 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/4d74641fac830182
Fabio Gurgel,"6' 0""",205 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/8377c5572cb356f3
Andre Gusmao,"6' 0""",205 lbs.,,Orthodox,"May 19, 1977",http://ufcstats.com/fighter-details/cc300e9aa3063431
Justin Guthrie,"6' 1""",170 lbs.,,,"Jan 19, 1981",http://ufcstats.com/fighter-details/a789defa9086da46
Horacio Gutierrez,"5' 10""",145 lbs.,,,"Sep 15, 1990",http://ufcstats.com/fighter-details/cd85b48dc880fabd
Keith Hackney,"5' 11""",200 lbs.,,Sideways,,http://ufcstats.com/fighter-details/bf12aca029bfcc47
Steve Hadsel,"5' 8""",170 lbs.,,,,http://ufcstats.com/fighter-details/99793cf88c5adeee
Yazan Hajeh,"5' 9""",145 lbs.,,Orthodox,"Sep 04, 1992",http://ufcstats.com/fighter-details/4955c524c2a71469
Stoney Hale,"6' 0""",,,,"Oct 18, 1979",http://ufcstats.com/fighter-details/206a7d47eb62170e
Kevin Haley,"6' 2""",205 lbs.,,,,http://ufcstats.com/fighter-details/439d4bbefd4e6940
Mark Hall,"6' 0""",190 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/18524b46c570730b
Tony Halme,"6' 3""",300 lbs.,,Orthodox,"Jan 06, 1963",http://ufcstats.com/fighter-details/bad28b7b34f334de
Brandon Halsey,"6' 0""",185 lbs.,,,"Sep 16, 1986",http://ufcstats.com/fighter-details/e763679f15326ae1
John Halverson,"5' 9""",155 lbs.,,Southpaw,"Sep 08, 1972",http://ufcstats.com/fighter-details/88c8f47241d90040
Frank Hamaker,,,,,,http://ufcstats.com/fighter-details/c3c23c99477c041b
Kazuhiro Hamanaka,"6' 0""",185 lbs.,,Southpaw,"Oct 24, 1978",http://ufcstats.com/fighter-details/1b4d6971bb18b82c
Jeremy Hamilton,,185 lbs.,,,"Nov 14, 1984",http://ufcstats.com/fighter-details/7ada6ea792a34424
James Hammortree,"6' 3""",185 lbs.,,Orthodox,"Nov 29, 1983",http://ufcstats.com/fighter-details/1f77fce698e80488
Dean Hancock,,155 lbs.,,,,http://ufcstats.com/fighter-details/24e9d6b0a24cff9d
Joachim Hansen,"5' 7""",150 lbs.,,Southpaw,"May 26, 1979",http://ufcstats.com/fighter-details/86e388ed20761ad9
Janay Harding,,135 lbs.,,,,http://ufcstats.com/fighter-details/b9c3ee342eb72100
Tobias Harila,,,,,"Jan 13, 1994",http://ufcstats.com/fighter-details/4d1e92b61bcef308
Baru Harn,,265 lbs.,,,,http://ufcstats.com/fighter-details/848809f3986b4977
Scott Harper,"6' 0""",185 lbs.,,Orthodox,"Apr 14, 1972",http://ufcstats.com/fighter-details/14a433bccba87016
Gerry Harris,"6' 8""",270 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/30cd319d39ee689b
Dhafir Harris,,257 lbs.,,,"Aug 04, 1977",http://ufcstats.com/fighter-details/0e96af5220d27ed4
Trevor Harris,"5' 6""",145 lbs.,,,,http://ufcstats.com/fighter-details/0e98b05d3cf6d271
Collin Hart,"6' 1""",185 lbs.,,Orthodox,"Oct 12, 1989",http://ufcstats.com/fighter-details/16bf6a73bdd302cd
Luke Hartwig,,,,,,http://ufcstats.com/fighter-details/34f3869747bf8fa9
Hidehiko Hasegawa,"5' 9""",170 lbs.,,,"Jul 13, 1978",http://ufcstats.com/fighter-details/2a2eeee20ef049cf
Chris Haseman,"5' 11""",205 lbs.,,Orthodox,"Jun 02, 1969",http://ufcstats.com/fighter-details/5bd533d50c8e7b8a
Takayo Hashi,"5' 4""",135 lbs.,,Orthodox,"Oct 02, 1977",http://ufcstats.com/fighter-details/ae4343d29c68e9d0
Tomohiko Hashimoto,"6' 0""",250 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/a890f9a791ed615d
Justin Haskins,"5' 10""",170 lbs.,,Orthodox,"Aug 30, 1979",http://ufcstats.com/fighter-details/77940e45bc86208e
Hayder Hassan,"5' 10""",170 lbs.,,,"Oct 20, 1982",http://ufcstats.com/fighter-details/cf615eb4b7862c76
